	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU7547	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7548	Bacteria	NA	NA	NA	NA	NA	NA
OTU7550	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA	NA
OTU7551	Bacteria	NA	NA	NA	NA	NA	NA
OTU7552	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	NA	Chloroplast	Streptophyta	NA
OTU7554	Bacteria	NA	NA	NA	NA	NA	NA
OTU7556	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7557	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7558	Bacteria	Bacteroidetes	NA	NA	NA	NA	NA
OTU7559	NA	NA	NA	NA	NA	NA	NA
OTU7560	Bacteria	NA	NA	NA	NA	NA	NA
OTU7561	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	NA
OTU7562	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_2	Natronincola	NA
OTU7563	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	NA	NA
OTU7564	Archaea	Woesearchaeota	NA	NA	NA	Woesearchaeota_Incertae_Sedis_AR16	NA
OTU7566	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA	NA
OTU7567	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7568	Bacteria	NA	NA	NA	NA	NA	NA
OTU7570	Bacteria	Armatimonadetes	NA	NA	NA	Armatimonadetes_gp4	NA
OTU7571	Bacteria	Parcubacteria	NA	NA	NA	Parcubacteria_genera_incertae_sedis	NA
OTU7572	Bacteria	NA	NA	NA	NA	NA	NA
OTU7573	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7574	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7577	Bacteria	NA	NA	NA	NA	NA	NA
OTU7578	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	NA	NA
OTU7579	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
OTU7580	Bacteria	Acidobacteria	Acidobacteria_Gp16	NA	NA	Gp16	NA
OTU7581	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU7582	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
OTU7583	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	NA	NA
OTU7585	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA
OTU7586	Bacteria	NA	NA	NA	NA	NA	NA
OTU7587	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
OTU7588	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7589	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7591	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7592	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	NA
OTU7593	NA	NA	NA	NA	NA	NA	NA
OTU7594	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	Cellulosimicrobium	NA
OTU7595	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
OTU7596	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	NA
OTU7597	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7598	Bacteria	candidate_division_ZB3	NA	NA	NA	ZB3_genera_incertae_sedis	NA
OTU7599	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
OTU7600	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7601	Bacteria	NA	NA	NA	NA	NA	NA
OTU7602	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7603	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7604	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	NA
OTU7605	Bacteria	NA	NA	NA	NA	NA	NA
OTU7606	Bacteria	NA	NA	NA	NA	NA	NA
OTU7607	Bacteria	Parcubacteria	NA	NA	NA	Parcubacteria_genera_incertae_sedis	NA
OTU7608	NA	NA	NA	NA	NA	NA	NA
OTU7609	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	NA	NA
OTU7610	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
OTU7611	NA	NA	NA	NA	NA	NA	NA
OTU7612	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	NA
OTU7613	Bacteria	Acidobacteria	Acidobacteria_Gp4	NA	NA	Gp4	NA
OTU7614	Bacteria	Acidobacteria	Acidobacteria_Gp17	NA	NA	Gp17	NA
OTU7615	Bacteria	Parcubacteria	NA	NA	NA	Parcubacteria_genera_incertae_sedis	NA
OTU7616	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA	NA
OTU7617	Bacteria	NA	NA	NA	NA	NA	NA
OTU7619	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	NA
OTU7620	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA
